127.0.0.1 - - [31/Mar/2022:22:47:32 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [31/Mar/2022:22:47:35 +0530] "GET /FormSubmition/ HTTP/1.1" 200 1753
0:0:0:0:0:0:0:1 - - [31/Mar/2022:22:47:36 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [31/Mar/2022:22:49:46 +0530] "GET /FormSubmition/ HTTP/1.1" 200 1640
0:0:0:0:0:0:0:1 - - [31/Mar/2022:22:53:58 +0530] "POST /FormSubmition/MyServlet HTTP/1.1" 200 107
0:0:0:0:0:0:0:1 - - [31/Mar/2022:22:54:17 +0530] "POST /FormSubmition/MyServlet HTTP/1.1" 200 47
0:0:0:0:0:0:0:1 - - [31/Mar/2022:22:54:24 +0530] "GET /FormSubmition HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Mar/2022:22:54:24 +0530] "GET /FormSubmition/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2022:23:07:30 +0530] "GET /FormSubmition/ HTTP/1.1" 200 1739
0:0:0:0:0:0:0:1 - - [31/Mar/2022:23:07:32 +0530] "GET /FormSubmition/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2022:23:07:32 +0530] "GET /FormSubmition/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2022:23:07:32 +0530] "GET /FormSubmition/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2022:23:07:33 +0530] "GET /FormSubmition/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2022:23:07:52 +0530] "GET /FormSubmition/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2022:23:07:53 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [31/Mar/2022:23:09:52 +0530] "GET /FormSubmition/ HTTP/1.1" 200 1755
0:0:0:0:0:0:0:1 - - [31/Mar/2022:23:10:01 +0530] "GET /FormSubmition/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2022:23:10:03 +0530] "GET /FormSubmition/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2022:23:10:26 +0530] "GET /FormSubmition/ HTTP/1.1" 200 1738
0:0:0:0:0:0:0:1 - - [31/Mar/2022:23:11:35 +0530] "GET /FormSubmition/ HTTP/1.1" 200 1758
0:0:0:0:0:0:0:1 - - [31/Mar/2022:23:12:07 +0530] "GET /FormSubmition/ HTTP/1.1" 200 1723
0:0:0:0:0:0:0:1 - - [31/Mar/2022:23:18:08 +0530] "GET /FormSubmition/ HTTP/1.1" 200 1855
0:0:0:0:0:0:0:1 - - [31/Mar/2022:23:20:18 +0530] "GET /FormSubmition/ HTTP/1.1" 200 1901
0:0:0:0:0:0:0:1 - - [31/Mar/2022:23:20:42 +0530] "GET /FormSubmition/ HTTP/1.1" 200 1894
0:0:0:0:0:0:0:1 - - [31/Mar/2022:23:22:27 +0530] "GET /FormSubmition/ HTTP/1.1" 200 2019
0:0:0:0:0:0:0:1 - - [31/Mar/2022:23:25:02 +0530] "GET /FormSubmition/ HTTP/1.1" 200 2053
0:0:0:0:0:0:0:1 - - [31/Mar/2022:23:25:41 +0530] "GET /FormSubmition/ HTTP/1.1" 200 2137
0:0:0:0:0:0:0:1 - - [31/Mar/2022:23:25:42 +0530] "GET /FormSubmition/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2022:23:27:29 +0530] "GET /FormSubmition/ HTTP/1.1" 200 1620
0:0:0:0:0:0:0:1 - - [31/Mar/2022:23:27:31 +0530] "GET /FormSubmition/ HTTP/1.1" 304 -
